From,To,Type,Strenght
University of Texas Southwestern Medical Center,"Pak, Charles (Y.C.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Parikh, Samir (M.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Peterson, Eric (D.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Podolsky, Daniel (K.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Raj, Ganesh (V.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Raskin, Philip",Institution-Associate,10
University of Texas Southwestern Medical Center,"Ross, Theodora (S.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Sadek, Hesham",Institution-Associate,10
University of Texas Southwestern Medical Center,"Shaul, Philip (Warren)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Shiloh, Michael",Institution-Associate,10
University of Texas Southwestern Medical Center,"Stastny, Peter",Institution-Associate,10
University of Texas Southwestern Medical Center,"Taurog, Joel (D.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Thiele, Dwain (L.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Towler, Dwight (A.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Wang, Andrew",Institution-Associate,10
University of Texas Southwestern Medical Center,"Wang, Richard (C.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Wang, Thomas (J.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"White, Perrin (C.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Wildenthal, Kern",Institution-Associate,10
University of Texas Southwestern Medical Center,"Yanagisawa, Masashi",Institution-Associate,10
University of Texas Southwestern Medical Center,"Yancey, Kim (B.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"Zhu, Hao",Institution-Associate,10
University of Texas Southwestern Medical Center,"Zigman, Jeffrey (M.)",Institution-Associate,10
University of Texas Southwestern Medical Center,"de Lemos, James (A.)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"Asch, Adam (Steven)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"Comp, Philip (C.)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"George, James (N.)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"Jackman, Warren (M.)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"James, Judith (A.)",Institution-Associate,10
University of Oklahoma Health Sciences Center,"Lau, Kai",Institution-Associate,10
University of Oklahoma Health Sciences Center,"McKee, Patrick (A.)",Institution-Associate,10
University of Tennessee Health Science Center,"Ataga, Kenneth",Institution-Associate,10
University of Tennessee Health Science Center,"Hayes, David (Neil)",Institution-Associate,10
University of Tennessee Health Science Center,"Tsao, Jack",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Atlas, Steven (A.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Barlogie, Bart",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Baron, Margaret (H.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Bhardwaj, Nina",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Bottinger, Erwin (P.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Bunyavanich, Supinda",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Burakoff, Steven (J.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Campbell, Kirk (N)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Cerutti, Andrea",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Chen, Benjamin (K.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Cho, Judy",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Davies, Terry (F.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Desnick, Robert (John)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Dunaif, Andrea (Elizabeth)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Ferrara, James (L.M.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Friedman, Scott (L.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Fuster, Valentin",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Gabrilove, Janice (Lynn)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Gelb, Bruce",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Guttman-Yassky, Emma",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Hajjar, Roger",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"He, John (Cijiang)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Hoffman, Ronald",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Jabs, Ethylin (Wang)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Krakoff, Lawrence (R.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"LeRoith, Derek",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Mancini, Donna (M.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Martignetti, John (A.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Merad, Miriam",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Oh, William (K.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Papapetrou, Eirini (P.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Parsons, Ramon (E.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Rayfield, Elliot (J.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Salans, Lester (B.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Stewart, Andrew (F.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Vlassara, Helen",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Wisnivesky, Juan (P.)",Institution-Associate,10
Icahn School of Medicine at Mount Sinai,"Zaidi, Mone",Institution-Associate,10
University of Minnesota Medical School,"Bache, Robert (J.)",Institution-Associate,10
University of Minnesota Medical School,"Behrens, Timothy (W.)",Institution-Associate,10
University of Minnesota Medical School,"Benditt, David (G.)",Institution-Associate,10
University of Minnesota Medical School,"Bitterman, Peter (B.)",Institution-Associate,10
University of Minnesota Medical School,"Blazar, Bruce (R.)",Institution-Associate,10
University of Minnesota Medical School,"Boulware, David",Institution-Associate,10
University of Minnesota Medical School,"Crawford, Peter (A.)",Institution-Associate,10
University of Minnesota Medical School,"Duane, William (C.)",Institution-Associate,10
University of Minnesota Medical School,"Dudley, R. (Adams)",Institution-Associate,10
University of Minnesota Medical School,"Dudley, Samuel (C.)",Institution-Associate,10
University of Minnesota Medical School,"Haase, Ashley (T.)",Institution-Associate,10
University of Minnesota Medical School,"Hebbel, Robert (P.)",Institution-Associate,10
University of Minnesota Medical School,"Igarashi, Peter",Institution-Associate,10
University of Minnesota Medical School,"McGlave, Philip",Institution-Associate,10
University of Minnesota Medical School,"Messner, Ronald (P.)",Institution-Associate,10
University of Minnesota Medical School,"Miller, Jeffrey (S.)",Institution-Associate,10
University of Minnesota Medical School,"Moldow, Charles (F.)",Institution-Associate,10
University of Minnesota Medical School,"Mueller, Daniel (L.)",Institution-Associate,10
University of Minnesota Medical School,"Niedernhofer, Laura (J.)",Institution-Associate,10
University of Minnesota Medical School,"Shaukat, Aasma",Institution-Associate,10
University of Minnesota Medical School,"Steer, Clifford (J.)",Institution-Associate,10
University of Minnesota Medical School,"Vercellotti, Gregory (M.)",Institution-Associate,10
University of Minnesota Medical School,"Wagner, John (E.)",Institution-Associate,10
St. Louis University School of Medicine,"Bacon, Bruce (R.)",Institution-Associate,10
St. Louis University School of Medicine,"Edwards, John (Clark)",Institution-Associate,10
St. Louis University School of Medicine,"Martin, Kevin (J.)",Institution-Associate,10
St. Louis University School of Medicine,"Sly, William (S.)",Institution-Associate,10
St. Louis University School of Medicine,"Tollefsen, Sherida (E.)",Institution-Associate,10
American University of Beirut,"Badr, Kamal (F.)",Institution-Associate,10
American University of Beirut,"Khoury, Samia (J.)",Institution-Associate,10
American University of Beirut,"Sayegh, Mohamed",Institution-Associate,10
American University of Beirut,"Ziyadeh, Fuad (N.)",Institution-Associate,10
American University of Beirut,"Ziyadeh, Fuad (N.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Bagby, Grover (C.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Deyo, Richard (A.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Fazio, Sergio",Institution-Associate,10
Oregon Health Science University School of Medicine,"Goodman, Richard (H.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Jacoby, David (B.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Kaul, Sanjiv",Institution-Associate,10
Oregon Health Science University School of Medicine,"Kohler, Peter",Institution-Associate,10
Oregon Health Science University School of Medicine,"Lindner, Jonathan",Institution-Associate,10
Oregon Health Science University School of Medicine,"Loriaux, D. (Lynn)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Rosenbaum, James (T.)",Institution-Associate,10
Oregon Health Science University School of Medicine,"Spindel, Eliot (R.)",Institution-Associate,10
University of Arizona College of Medicine,"Bagdade, John (D.)",Institution-Associate,10
University of Arizona College of Medicine,"Garcia, Joe (G.N.)",Institution-Associate,10
University of Arizona College of Medicine,"Kraft, Andrew (S.)",Institution-Associate,10
University of Arizona College of Medicine,"Merchant, Juanita (L.)",Institution-Associate,10
University of Arizona College of Medicine,"Roeske, William (R.)",Institution-Associate,10
University of Arizona College of Medicine,"Sternberg, Esther (M.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Bahou, Wadie (F.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Bennett-Guerrero, Elliott",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Clark, Richard (A.F.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Del Poeta, Maurizio",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Edelman, Norman (H.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Gabig, Theodore (G.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Grollman, Arthur (P.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Hannun, Yusuf (A.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Hultin, Mae (B.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Kaloyanides, George (J.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Kaushansky, Kenneth",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Li, Ellen",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Lin, Richard",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Luft, Benjamin (J.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Nord, Edward (P.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Stanley, Samuel (L.)",Institution-Associate,10
Renaissance School of Medicine at Stony Brook University,"Yang, Vincent (W.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Bajaj, Jasmohan (S.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Clevenger, Charles (V.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Donnenberg, Michael (S.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Ginder, Gordon (D.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Grossman, Steven (Robert)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Kontos, Hermes (A.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Nana-Sinkam, Patrick",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Nestler, John (E.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Schwartz, Lawrence (B.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Sime, Patricia (J.)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Voelkel, Norbert (Felix)",Institution-Associate,10
Virginia Commonwealth University School of Medicine,"Wenzel, Richard (P.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Balk, Steven (P.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Barouch, Dan (H.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Chaikof, Elliot (L.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Dolin, Raphael",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Flaumenhaft, Robert",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Fox, Irving (H.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Frangioni, John (V.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Furie, Bruce",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Gerszten, Robert (E.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Groopman, Jerome (E.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Inouye, Sharon (K.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Kahn, Barbara",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Landon, Bruce (E.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Lu, Kun (Ping)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Mantzoros, Christos (S.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Mukamal, Kenneth (J.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Nicholson-Weller, Anne",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Pollak, Martin",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Rosen, Evan",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Strewler, Gordon (J.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Sytkowski, Arthur (J.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Trentham, David (E.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Wee, Christina (C.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Weller, Peter (F.)",Institution-Associate,10
"Harvard Medical School, Beth Israel Deaconess Medical Center","Zeidel, Mark (L.)",Institution-Associate,10
University of Alberta Faculty of Medicine,"Ballermann, Barbara",Institution-Associate,10
University of Alberta Faculty of Medicine,"Halloran, Philip (F.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Baloh, Robert (H.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Bernstein, Kenneth (E.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Braunstein, Glenn (D.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Cheng, Susan",Institution-Associate,10
Cedars-Sinai Medical Center,"Chugh, Sumeet (S.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Engman, David (M.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Fine, Leon (G.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Freedland, Stephen (J.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Karumanchi, S. (Ananth)",Institution-Associate,10
Cedars-Sinai Medical Center,"Koeffler, H. (Phillip)",Institution-Associate,10
Cedars-Sinai Medical Center,"Lu, Shelly (C.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Marban, Eduardo",Institution-Associate,10
Cedars-Sinai Medical Center,"McGovern, Dermot (Patrick Bracher)",Institution-Associate,10
Cedars-Sinai Medical Center,"Melmed, Shlomo",Institution-Associate,10
Cedars-Sinai Medical Center,"Noble, Paul (W.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Pandol, Stephen (J.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Rapoport, Basil",Institution-Associate,10
Cedars-Sinai Medical Center,"Seki, Ekihiro",Institution-Associate,10
Cedars-Sinai Medical Center,"Sutterwala, Fayyaz (S.)",Institution-Associate,10
Cedars-Sinai Medical Center,"Targan, Stephan (Raoul)",Institution-Associate,10
Cedars-Sinai Medical Center,"Theodorescu, Dan",Institution-Associate,10
New York University School of Medicine,"Bangalore, Sripal",Institution-Associate,10
New York University School of Medicine,"Carmel, Ralph",Institution-Associate,10
New York University School of Medicine,"Carroll, William (L.)",Institution-Associate,10
New York University School of Medicine,"Cronstein, Bruce (N.)",Institution-Associate,10
New York University School of Medicine,"Esteva, Francisco",Institution-Associate,10
New York University School of Medicine,"Fishman, Glenn (I.)",Institution-Associate,10
New York University School of Medicine,"Frangione, Blas",Institution-Associate,10
New York University School of Medicine,"Glickman, Robert (M.)",Institution-Associate,10
New York University School of Medicine,"Goldberg, Ira (J.)",Institution-Associate,10
New York University School of Medicine,"Hirschhorn, Rochelle",Institution-Associate,10
New York University School of Medicine,"Horwitz, Leora",Institution-Associate,10
New York University School of Medicine,"Javitt, Norman (B.)",Institution-Associate,10
New York University School of Medicine,"Kimmelman, Alec (C.)",Institution-Associate,10
New York University School of Medicine,"Miller, George",Institution-Associate,10
New York University School of Medicine,"Park, Christopher (Y.)",Institution-Associate,10
New York University School of Medicine,"Philips, Mark (R.)",Institution-Associate,10
New York University School of Medicine,"Roberts, Jr.",Institution-Associate,10
New York University School of Medicine,"Samuels, Herbert (H.)",Institution-Associate,10
New York University School of Medicine,"Schmidt, Ann (Marie)",Institution-Associate,10
New York University School of Medicine,"Schuman, Joel (S.)",Institution-Associate,10
New York University School of Medicine,"Silverman, Gregg",Institution-Associate,10
New York University School of Medicine,"Skolnik, Edward (Y.)",Institution-Associate,10
New York University School of Medicine,"Wong, Kwok-Kin",Institution-Associate,10
"University of California, Irvine, School of Medicine","Barbour, Alan (G.)",Institution-Associate,10
"University of California, Irvine, School of Medicine","Huang, Susan",Institution-Associate,10
"University of California, Irvine, School of Medicine","Lander, Arthur (D.)",Institution-Associate,10
"Rutgers, The State University of New Jersey","Barchi, Robert (L.)",Institution-Associate,10
"Rutgers, The State University of New Jersey","Dong, XinQi",Institution-Associate,10
"Rutgers, The State University of New Jersey","Panettieri, Jr.",Institution-Associate,10
"Rutgers, The State University of New Jersey","Strom, Brian (L.)",Institution-Associate,10
"Rutgers, The State University of New Jersey","Vatner, Stephen (F.)",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Barr, Frederic (G.)",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Kochenderfer, James",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Lowy, Douglas (R.)",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Oberholtzer, John (Carl)",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Phang, James (M.)",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Savage, Sharon",Institution-Associate,10
"NIH, National Cancer Institute (NCI)","Sharpless, Norman (E.)",Institution-Associate,10
University of Kentucky College of Medicine,"Barrett, Terrence (A.)",Institution-Associate,10
University of Kentucky College of Medicine,"Evers, B. (Mark)",Institution-Associate,10
University of Kentucky College of Medicine,"Fisher, Simon (J.)",Institution-Associate,10
University of Kentucky College of Medicine,"Kern, Philip (A.)",Institution-Associate,10
University of Kentucky College of Medicine,"Malluche, Hartmut",Institution-Associate,10
University of Kentucky College of Medicine,"Smyth, Susan (S.)",Institution-Associate,10
University of North Carolina School of Medicine,"Basch, Ethan (Martin)",Institution-Associate,10
University of North Carolina School of Medicine,"Boucher, Richard (C.)",Institution-Associate,10
University of North Carolina School of Medicine,"Clemmons, David (R.)",Institution-Associate,10
University of North Carolina School of Medicine,"Cohen, Myron (S.)",Institution-Associate,10
University of North Carolina School of Medicine,"D'Ercole, A. (Joseph)",Institution-Associate,10
University of North Carolina School of Medicine,"Diaz, Luis (A.)",Institution-Associate,10
University of North Carolina School of Medicine,"Doerschuk, Claire (M.)",Institution-Associate,10
University of North Carolina School of Medicine,"Duncan, Joseph (Alexander)",Institution-Associate,10
University of North Carolina School of Medicine,"Earp, H. (Shelton)",Institution-Associate,10
University of North Carolina School of Medicine,"Falk, Ronald (J.)",Institution-Associate,10
University of North Carolina School of Medicine,"Flythe, Jennifer (Elizabeth)",Institution-Associate,10
University of North Carolina School of Medicine,"Fried, Michael",Institution-Associate,10
University of North Carolina School of Medicine,"Goldsmith, Lowell (A.)",Institution-Associate,10
University of North Carolina School of Medicine,"Hadler, Nortin (M.)",Institution-Associate,10
University of North Carolina School of Medicine,"Hostetter, Thomas (H.)",Institution-Associate,10
University of North Carolina School of Medicine,"Juliano, Jonathan (J.)",Institution-Associate,10
University of North Carolina School of Medicine,"Kibbe, Melina (R.)",Institution-Associate,10
University of North Carolina School of Medicine,"Kim, William (Y.)",Institution-Associate,10
University of North Carolina School of Medicine,"Lemon, Stanley (M.)",Institution-Associate,10
University of North Carolina School of Medicine,"Margolis, David (M.)",Institution-Associate,10
University of North Carolina School of Medicine,"Pecot, Chad (V.)",Institution-Associate,10
University of North Carolina School of Medicine,"Sparling, P. (Frederick)",Institution-Associate,10
University of North Carolina School of Medicine,"Wang, Andrew",Institution-Associate,10
University of North Carolina School of Medicine,"Watkins, Paul (B.)",Institution-Associate,10
University of North Carolina School of Medicine,"Winfield, John (B.)",Institution-Associate,10
University of North Carolina School of Medicine,"Yeh, Jen (Jen)",Institution-Associate,10
Boston Pharmaceuticals,"Basson, Craig (T.)",Institution-Associate,10
Boston Pharmaceuticals,"Svensson, Eric (C.)",Institution-Associate,10
Hannover Medical School,"Baum, Christopher",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Baum, Stephen (G.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Brownlee, Michael (A.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Cuervo, Ana (Maria)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Diamond, Betty",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Fisher, John (Devens)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Frangogiannis, Nikolaos (G.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Hardin, John (Avery)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Hawkins, Meredith (Ann Marguerite)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Keiser, Harold",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Kitsis, Richard (N.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Nosanchuk, Joshua",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Porcelli, Steven",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Prystowsky, Michael (B.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Putterman, Chaim",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Roth, Jesse",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Scheuer, James",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Schuster, Victor (L.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Shamoon, Harry",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Spiegel, Allen (M.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Steidl, Ulrich (G.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Surks, Martin (I.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Tomaselli, Gordon (F.)",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Tomer, Yaron",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Verma, Amit",Institution-Associate,10
Albert Einstein College of Medicine of Yeshiva University,"Wolkoff, Allan (W.)",Institution-Associate,10
Loma Linda University School of Medicine,"Baylink, David (J.)",Institution-Associate,10
BioCurate,"Begley, C. (Glenn)",Institution-Associate,10
McGill University Faculty of Medicine,"Behr, Marcel (A.)",Institution-Associate,10
McGill University Faculty of Medicine,"Crawhall, John (C.)",Institution-Associate,10
McGill University Faculty of Medicine,"Fon, Edward (A.)",Institution-Associate,10
McGill University Faculty of Medicine,"Gold, Phil",Institution-Associate,10
McGill University Faculty of Medicine,"Goltzman, David",Institution-Associate,10
McGill University Faculty of Medicine,"Guttmann, Ronald (D.)",Institution-Associate,10
McGill University Faculty of Medicine,"Karaplis, Andrew",Institution-Associate,10
McGill University Faculty of Medicine,"Kessler, Jacques (I.)",Institution-Associate,10
McGill University Faculty of Medicine,"Levy, Mortimer",Institution-Associate,10
McGill University Faculty of Medicine,"Marliss, Errol (B.)",Institution-Associate,10
McGill University Faculty of Medicine,"Murphy, Beverley (E. Pearson)",Institution-Associate,10
McGill University Faculty of Medicine,"Posner, Barry (I.)",Institution-Associate,10
McGill University Faculty of Medicine,"Richards, J. (Brent)",Institution-Associate,10
McGill University Faculty of Medicine,"Rosenblatt, David (S.)",Institution-Associate,10
McGill University Faculty of Medicine,"Sheppard, Donald",Institution-Associate,10
McGill University Faculty of Medicine,"Veillette, Andre",Institution-Associate,10
McGill University Faculty of Medicine,"Wing, Simon (S.)",Institution-Associate,10
Medical College of Wisconsin,"Benjamin, Ivor (J.)",Institution-Associate,10
Medical College of Wisconsin,"Benjamin, Ivor (J.)",Institution-Associate,10
Medical College of Wisconsin,"Dunn, Michael (J.)",Institution-Associate,10
Medical College of Wisconsin,"Fink, Jordan (N.)",Institution-Associate,10
Medical College of Wisconsin,"Montgomery, Robert (R.)",Institution-Associate,10
Medical College of Wisconsin,"Ravdin, Jonathan (I.)",Institution-Associate,10
Medical College of Wisconsin,"Raymond, John (Richard)",Institution-Associate,10
Medical College of Wisconsin,"Savin, Virginia (J.)",Institution-Associate,10
Medical College of Wisconsin,"Silverstein, Roy (L.)",Institution-Associate,10
"NIH, National Institute of Minority Health and Health Disparities","Bennett, John (E.)",Institution-Associate,10
"NIH, National Institute of Minority Health and Health Disparities","Perez-Stable, Eliseo (J.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Bennett, John (E.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Bielekova, Bibiana",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Crompton, Peter (D.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Desai, Sanjay",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Douek, Daniel (C.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Fuss, Ivan",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Goldbach-Mansky, Raphaela",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Jain, Ashish",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Ledgerwood, Julie (E.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Lionakis, Michail (S)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Margulies, David (H.)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Milner, Joshua (David)",Institution-Associate,10
"NIH, National Institute of Allergy and Infectious Diseases (NIAID)","Su, Helen (C.)",Institution-Associate,10
"NIH, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Bennett, Peter (H.)",Institution-Associate,10
"NIH, National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Camerini-Otero, Rafael (D.)",Institution-Associate,10
